date,Share Repurchase,Cash Flow SBC,shares_outstanding,closing_price
2018-03-31,0.0,1996000.0,399353398.0,
2018-06-30,0.0,3497000.0,399353398.0,
2018-09-30,0.0,6343000.0,399353398.0,
2019-03-28,0.0,857200000.0,399353398.0,
2019-03-31,0.0,859486000.0,399353398.0,78.29000091552734
2019-06-30,0.0,1152724000.0,399353398.0,65.70999908447266
2019-09-30,0.0,1394900000.0,399353398.0,40.84000015258789
2020-03-31,0.0,159978000.0,399353398.0,26.850000381469727
2020-06-30,0.0,265781000.0,399353398.0,33.0099983215332
2020-09-30,0.0,432498000.0,399353398.0,27.549999237060547
2021-03-31,0.0,164229000.0,399353398.0,63.18000030517578
2021-06-30,0.0,365230000.0,399353398.0,60.47999954223633
2021-09-30,0.0,563675000.0,399353398.0,53.59000015258789
2022-03-31,0.0,153743000.0,399353398.0,38.400001525878906
2022-06-30,0.0,330387000.0,399353398.0,13.279999732971191
2022-09-30,0.0,551367000.0,399353398.0,13.170000076293945
2023-03-31,0.0,180383000.0,399353398.0,9.270000457763672
2023-06-30,0.0,294309000.0,399353398.0,9.59000015258789
2023-09-30,0.0,392852000.0,399353398.0,10.539999961853027
2024-03-31,50000000.0,80098000.0,399353398.0,19.350000381469727
2024-06-30,50000000.0,165837000.0,399353398.0,14.100000381469727
2024-09-30,50000000.0,254793000.0,399353398.0,12.75
2025-03-31,0.0,93158000.0,399353398.0,11.869999885559082
2025-06-30,201369000.0,175260000.0,399353398.0,15.760000228881836
2025-09-30,400000000.0,241845000.0,399353398.0,22.010000228881836
