date,Share Repurchase,Cash Flow SBC,shares_outstanding,closing_price
2018-03-31,7000000.0,61000000.0,2077830381.0,
2018-06-30,9000000.0,81000000.0,2077830381.0,
2018-09-30,10000000.0,145000000.0,2077830381.0,
2019-03-31,0.0,11000000.0,2077830381.0,
2019-06-30,0.0,3952000000.0,1695552739.0,46.380001068115234
2019-09-30,0.0,4353000000.0,1700003601.0,30.469999313354492
2020-03-31,0.0,277000000.0,1705815070.0,27.920000076293945
2020-06-30,0.0,408000000.0,1733987312.0,31.079999923706055
2020-09-30,0.0,591000000.0,1752622515.0,36.47999954223633
2021-03-31,0.0,281000000.0,1763768098.0,54.5099983215332
2021-06-30,0.0,553000000.0,1871760070.0,50.119998931884766
2021-09-30,0.0,834000000.0,1884346863.0,44.79999923706055
2022-03-31,0.0,359000000.0,1940118248.0,35.68000030517578
2022-06-30,0.0,829000000.0,1963660253.0,20.459999084472656
2022-09-30,0.0,1311000000.0,1979918174.0,26.5
2023-03-31,0.0,470000000.0,1994407340.0,31.700000762939453
2023-06-30,0.0,974000000.0,2023827162.0,43.16999816894531
2023-09-30,0.0,1466000000.0,2043522654.0,45.9900016784668
2024-03-31,0.0,484000000.0,2057858230.0,76.98999786376953
2024-06-30,326000000.0,939000000.0,2089520408.0,72.68000030517578
2024-09-30,697000000.0,1377000000.0,2100937229.0,75.16000366210938
2025-03-31,1800000000.0,435000000.0,2105709325.0,72.86000061035156
2025-06-30,3148000000.0,910000000.0,2091168098.0,93.30000305175781
2025-09-30,4611000000.0,1375000000.0,2085418676.0,97.97000122070312
