date,Share Repurchase,Cash Flow SBC,shares_outstanding,closing_price
2020-06-30,0.0,13523000.0,0.0,
2020-09-30,0.0,133597000.0,0.0,
2021-03-31,0.0,13353000.0,109447843.0,
2021-06-30,0.0,47869000.0,0.0,47.5
2021-09-30,0.0,97552000.0,0.0,59.650001525878906
2022-03-31,0.0,57369000.0,0.0,41.0
2022-06-30,0.0,126235000.0,0.0,23.239999771118164
2022-09-30,709000.0,201628000.0,0.0,23.770000457763672
2023-03-31,0.0,79289000.0,0.0,24.06999969482422
2023-06-30,0.0,171448000.0,0.0,35.310001373291016
2023-09-30,255000.0,260962000.0,0.0,29.610000610351562
2024-03-31,0.0,95322000.0,0.0,30.520000457763672
2024-06-30,0.0,194429000.0,0.0,29.530000686645508
2024-09-30,0.0,292736000.0,0.0,20.3799991607666
2025-03-31,0.0,92575000.0,0.0,23.440000534057617
2025-06-30,0.0,194572000.0,0.0,24.93000030517578
2025-09-30,0.0,295700000.0,0.0,19.799999237060547
