date,Share Repurchase,Cash Flow SBC,shares_outstanding,closing_price
2016-10-31,22000.0,16517000.0,81391760.0,
2017-04-30,4000.0,4454000.0,81391760.0,
2017-07-31,74000.0,9371000.0,81391760.0,
2017-10-31,149000.0,15066000.0,81391760.0,30.479999542236328
2018-04-30,152000.0,7508000.0,81391760.0,35.9900016784668
2018-07-31,309000.0,16586000.0,81391760.0,54.11000061035156
2018-10-31,327000.0,26850000.0,81391760.0,81.5
2019-04-30,30000.0,14009000.0,81391760.0,140.9199981689453
2019-07-31,31000.0,31671000.0,81391760.0,143.22000122070312
2019-10-31,35000.0,51038000.0,81391760.0,127.7699966430664
2020-04-30,1000.0,30567000.0,81391760.0,162.1300048828125
2020-07-31,11000.0,68092000.0,81391760.0,229.0800018310547
2020-10-31,11000.0,108044000.0,58868997.0,228.47000122070312
2021-04-30,0.0,50914000.0,60266318.0,297.4599914550781
2021-07-31,0.0,108619000.0,62140090.0,358.9200134277344
2021-10-31,0.0,177327000.0,66178101.0,521.2899780273438
2022-04-30,0.0,83566000.0,66753105.0,354.92999267578125
2022-07-31,0.0,180120000.0,68114986.0,312.4700012207031
2022-10-31,0.0,279318000.0,68707084.0,183.02999877929688
2023-04-30,0.0,103955000.0,69285760.0,239.9600067138672
2023-07-31,0.0,217267000.0,70581376.0,423.3999938964844
2023-10-31,0.0,333096000.0,71344615.0,344.5899963378906
2024-04-30,0.0,120763000.0,72177636.0,365.17999267578125
2024-07-31,0.0,243186000.0,73350695.0,252.36000061035156
2024-10-31,0.0,368898000.0,73869454.0,270.3999938964844
2025-04-30,0.0,132431000.0,74470596.0,172.1699981689453
2025-07-31,194446000.0,272831000.0,81714313.0,237.88999938964844
2025-10-31,343079000.0,406461000.0,81356893.0,359.82000732421875
