date,Share Repurchase,Cash Flow SBC,shares_outstanding,closing_price
2016-10-01,0.0,6016000.0,4818812.0,
2017-03-31,0.0,2175000.0,4818812.0,
2017-06-30,0.0,4593000.0,4818812.0,
2017-09-30,671000.0,7517000.0,4818812.0,26.540000915527344
2018-03-31,0.0,4429000.0,4818812.0,31.100000381469727
2018-06-30,0.0,9738000.0,4818812.0,42.619998931884766
2018-09-30,0.0,21237000.0,4818812.0,73.02999877929688
2019-03-31,0.0,17864000.0,4818812.0,64.51000213623047
2019-06-30,0.0,36535000.0,4818812.0,90.58000183105469
2019-09-30,0.0,59153000.0,4818812.0,101.76000213623047
2020-03-31,0.0,30405000.0,4818812.0,87.4800033569336
2020-06-30,0.0,60441000.0,4818812.0,116.52999877929688
2020-09-30,0.0,95348000.0,4818812.0,188.8000030517578
2021-03-31,0.0,40537000.0,4818812.0,325.7699890136719
2021-06-30,0.0,83083000.0,4818812.0,459.25
2021-09-30,0.0,133479000.0,4818812.0,313.3500061035156
2022-03-31,0.0,69580000.0,4818812.0,125.2699966430664
2022-06-30,0.0,156604000.0,4818812.0,82.13999938964844
2022-09-30,0.0,255654000.0,4818812.0,56.400001525878906
2023-03-31,0.0,96472000.0,4818812.0,65.81999969482422
2023-06-30,0.0,186051000.0,4818812.0,63.959999084472656
2023-09-30,0.0,277356000.0,4818812.0,70.58999633789062
2024-03-31,0.0,94632000.0,4818812.0,65.16999816894531
2024-06-30,0.0,183028000.0,4818812.0,59.93000030517578
2024-09-30,0.0,283124000.0,4818812.0,74.66000366210938
2025-03-31,0.0,95494000.0,4818812.0,70.44000244140625
2025-06-30,0.0,180134000.0,4818812.0,87.88999938964844
2025-09-30,50000000.0,268165000.0,4818812.0,100.12999725341797
