date,Share Repurchase,Cash Flow SBC,shares_outstanding,closing_price
2019-10-31,0.0,57425000.0,342200000.0,
2020-04-30,0.0,20445000.0,342200000.0,
2020-07-31,0.0,38649000.0,342200000.0,
2020-10-31,0.0,157790000.0,342200000.0,250.02000427246094
2021-04-30,0.0,151014000.0,342200000.0,231.58999633789062
2021-07-31,0.0,315005000.0,296100000.0,265.7200012207031
2021-10-31,0.0,459392000.0,300900000.0,353.8399963378906
2022-04-30,0.0,172493000.0,306300000.0,171.44000244140625
2022-07-31,0.0,381674000.0,306300000.0,149.91000366210938
2022-10-31,0.0,610837000.0,320000000.0,160.3000030517578
2023-04-30,191694000.0,264509000.0,321600000.0,148.0800018310547
2023-07-31,191694000.0,564231000.0,325900000.0,177.7100067138672
2023-10-31,591732000.0,862517000.0,329700000.0,145.1300048828125
2024-04-30,516329000.0,331936000.0,329300000.0,155.1999969482422
2024-07-31,916329000.0,687936000.0,334800000.0,130.3800048828125
2024-10-31,1932333000.0,1051195000.0,335200000.0,114.81999969482422
2025-04-30,490638000.0,379460000.0,330100000.0,159.49000549316406
2025-07-31,490638000.0,783677000.0,333700000.0,223.5
2025-10-31,723534000.0,1195955000.0,338800000.0,274.8800048828125
